cod;nome;período;valor
33;RJ;2011;674
28;SE;2011;201
32;ES;2011;122
29;BA;2011;306
52;GO;2011;257
31;MG;2011;1041
14;RR;2011;112
11;RO;2011;47
51;MT;2011;317
15;PA;2011;1157
16;AP;2011;39
50;MS;2011;209
17;TO;2011;109
53;DF;2011;324
43;RS;2011;1135
21;MA;2011;234
22;PI;2011;54
12;AC;2011;280
42;SC;2011;433
23;CE;2011;68
41;PR;2011;648
24;RN;2011;76
25;PB;2011;126
13;AM;2011;855
35;SP;2011;2431
26;PE;2011;729
27;AL;2011;103
41;PR;2012;1037
27;AL;2012;117
43;RS;2012;1377
52;GO;2012;438
32;ES;2012;289
11;RO;2012;61
28;SE;2012;323
25;PB;2012;243
29;BA;2012;411
21;MA;2012;225
31;MG;2012;1405
24;RN;2012;111
13;AM;2012;1151
33;RJ;2012;1048
14;RR;2012;117
42;SC;2012;617
51;MT;2012;223
26;PE;2012;792
22;PI;2012;171
15;PA;2012;1386
35;SP;2012;2976
53;DF;2012;610
50;MS;2012;268
23;CE;2012;104
16;AP;2012;73
12;AC;2012;387
17;TO;2012;144
14;RR;2013;144
53;DF;2013;794
52;GO;2013;594
51;MT;2013;261
50;MS;2013;355
43;RS;2013;1417
42;SC;2013;767
41;PR;2013;1372
35;SP;2013;2841
33;RJ;2013;1324
32;ES;2013;319
31;MG;2013;1765
29;BA;2013;727
28;SE;2013;311
27;AL;2013;130
26;PE;2013;1014
25;PB;2013;241
24;RN;2013;117
23;CE;2013;104
22;PI;2013;522
21;MA;2013;256
17;TO;2013;299
16;AP;2013;94
15;PA;2013;1490
13;AM;2013;1354
12;AC;2013;439
11;RO;2013;78
11;RO;2014;123
27;AL;2014;186
22;PI;2014;421
25;PB;2014;206
15;PA;2014;1477
42;SC;2014;799
50;MS;2014;372
26;PE;2014;1087
21;MA;2014;193
16;AP;2014;76
29;BA;2014;916
43;RS;2014;1515
17;TO;2014;493
52;GO;2014;603
35;SP;2014;2886
13;AM;2014;1356
28;SE;2014;288
24;RN;2014;126
12;AC;2014;369
33;RJ;2014;1368
51;MT;2014;290
14;RR;2014;128
32;ES;2014;405
23;CE;2014;269
53;DF;2014;631
41;PR;2014;1532
31;MG;2014;1911
17;TO;2015;443
32;ES;2015;505
26;PE;2015;1132
33;RJ;2015;1207
25;PB;2015;220
12;AC;2015;418
24;RN;2015;110
35;SP;2015;3180
23;CE;2015;262
41;PR;2015;1738
22;PI;2015;598
52;GO;2015;787
21;MA;2015;269
42;SC;2015;771
43;RS;2015;1479
16;AP;2015;55
11;RO;2015;196
15;PA;2015;1462
50;MS;2015;269
14;RR;2015;127
51;MT;2015;328
13;AM;2015;1136
29;BA;2015;860
53;DF;2015;557
31;MG;2015;2037
28;SE;2015;264
27;AL;2015;187
22;PI;2016;598
28;SE;2016;137
50;MS;2016;300
14;RR;2016;156
32;ES;2016;559
23;CE;2016;434
53;DF;2016;733
35;SP;2016;4088
12;AC;2016;443
13;AM;2016;1082
51;MT;2016;356
24;RN;2016;131
29;BA;2016;917
31;MG;2016;2100
17;TO;2016;544
11;RO;2016;215
42;SC;2016;875
33;RJ;2016;1588
16;AP;2016;121
26;PE;2016;1168
52;GO;2016;861
25;PB;2016;113
43;RS;2016;1460
21;MA;2016;270
15;PA;2016;1511
27;AL;2016;230
41;PR;2016;1928
